galaxy,n_points,mode,scaling,exact_match_pct,rmse_km_s,rmse_newton_km_s,bit0_acc,bit1_acc,bit2_acc,bit3_acc,bit4_acc,bit5_acc,bit6_acc,bit7_acc
CamB,9,macros,m33,33.33,10.47,4.62,88.89,88.89,66.67,66.67,66.67,100.0,100.0,100.0
CamB,9,highbits,m33,0.0,7.26,4.62,55.56,44.44,44.44,44.44,55.56,22.22,100.0,100.0
CamB,9,max-latch,m33,0.0,7.17,4.62,55.56,33.33,44.44,55.56,55.56,22.22,100.0,100.0
CamB,9,hybrid,m33,0.0,7.17,4.62,55.56,33.33,44.44,55.56,55.56,22.22,100.0,100.0
D512-2,4,macros,m33,0.0,10.07,12.49,75.0,25.0,50.0,50.0,25.0,0.0,75.0,100.0
D512-2,4,highbits,m33,0.0,9.63,12.49,75.0,50.0,75.0,75.0,0.0,25.0,75.0,100.0
D512-2,4,max-latch,m33,0.0,7.5,12.49,75.0,0.0,75.0,75.0,0.0,25.0,25.0,100.0
D512-2,4,hybrid,m33,0.0,9.6,12.49,75.0,0.0,75.0,75.0,0.0,25.0,75.0,100.0
D564-8,6,macros,m33,0.0,11.16,10.05,50.0,33.33,66.67,66.67,50.0,66.67,83.33,100.0
D564-8,6,highbits,m33,0.0,9.34,10.05,100.0,50.0,66.67,33.33,33.33,50.0,83.33,100.0
D564-8,6,max-latch,m33,0.0,10.08,10.05,66.67,66.67,50.0,50.0,50.0,66.67,100.0,100.0
D564-8,6,hybrid,m33,0.0,9.28,10.05,66.67,66.67,50.0,50.0,50.0,66.67,83.33,100.0
D631-7,16,macros,m33,0.0,33.98,24.59,31.25,56.25,62.5,56.25,68.75,43.75,43.75,100.0
D631-7,16,highbits,m33,0.0,31.11,24.59,56.25,50.0,56.25,56.25,56.25,43.75,43.75,100.0
D631-7,16,max-latch,m33,6.25,20.57,24.59,68.75,68.75,43.75,43.75,62.5,56.25,75.0,100.0
D631-7,16,hybrid,m33,0.0,27.92,24.59,68.75,68.75,43.75,43.75,62.5,56.25,43.75,100.0
DDO064,14,macros,m33,7.14,25.1,14.59,71.43,71.43,64.29,64.29,35.71,85.71,64.29,100.0
DDO064,14,highbits,m33,7.14,21.25,14.59,35.71,64.29,64.29,50.0,35.71,50.0,64.29,100.0
DDO064,14,max-latch,m33,7.14,18.31,14.59,35.71,64.29,64.29,50.0,35.71,50.0,92.86,100.0
DDO064,14,hybrid,m33,7.14,21.25,14.59,35.71,64.29,64.29,50.0,35.71,50.0,64.29,100.0
DDO154,12,macros,m33,0.0,26.69,22.68,66.67,50.0,41.67,50.0,50.0,83.33,33.33,100.0
DDO154,12,highbits,m33,0.0,22.21,22.68,50.0,41.67,58.33,50.0,50.0,41.67,33.33,100.0
DDO154,12,max-latch,m33,0.0,18.98,22.68,58.33,58.33,50.0,58.33,41.67,66.67,83.33,100.0
DDO154,12,hybrid,m33,0.0,24.57,22.68,58.33,58.33,50.0,58.33,41.67,66.67,33.33,100.0
DDO161,31,macros,m33,0.0,20.02,21.31,54.84,48.39,58.06,35.48,25.81,35.48,32.26,48.39
DDO161,31,highbits,m33,0.0,16.79,21.31,61.29,45.16,35.48,48.39,48.39,51.61,32.26,48.39
DDO161,31,max-latch,m33,0.0,15.86,21.31,58.06,67.74,29.03,38.71,35.48,35.48,12.9,32.26
DDO161,31,hybrid,m33,0.0,19.31,21.31,58.06,67.74,29.03,38.71,35.48,35.48,32.26,48.39
DDO168,10,macros,m33,0.0,22.58,18.77,70.0,60.0,50.0,40.0,50.0,50.0,100.0,100.0
DDO168,10,highbits,m33,0.0,17.99,18.77,30.0,40.0,40.0,40.0,50.0,20.0,100.0,100.0
DDO168,10,max-latch,m33,0.0,16.86,18.77,30.0,50.0,50.0,40.0,50.0,20.0,70.0,100.0
DDO168,10,hybrid,m33,0.0,17.95,18.77,30.0,50.0,50.0,40.0,50.0,20.0,100.0,100.0
DDO170,8,macros,m33,0.0,19.04,24.54,50.0,62.5,75.0,25.0,75.0,25.0,100.0,100.0
DDO170,8,highbits,m33,0.0,13.58,24.54,37.5,25.0,12.5,12.5,25.0,75.0,100.0,100.0
DDO170,8,max-latch,m33,0.0,13.47,24.54,37.5,25.0,25.0,12.5,37.5,75.0,87.5,100.0
DDO170,8,hybrid,m33,0.0,13.06,24.54,37.5,25.0,25.0,12.5,37.5,75.0,100.0,100.0
ESO079-G014,15,macros,m33,0.0,43.8,28.89,20.0,33.33,26.67,20.0,13.33,26.67,80.0,80.0
ESO079-G014,15,highbits,m33,53.33,62.37,28.89,80.0,80.0,86.67,80.0,86.67,73.33,80.0,80.0
ESO079-G014,15,max-latch,m33,53.33,62.37,28.89,80.0,80.0,86.67,80.0,86.67,73.33,80.0,80.0
ESO079-G014,15,hybrid,m33,53.33,62.37,28.89,80.0,80.0,86.67,80.0,86.67,73.33,80.0,80.0
ESO116-G012,15,macros,m33,0.0,18.76,34.26,46.67,53.33,46.67,53.33,33.33,86.67,66.67,86.67
ESO116-G012,15,highbits,m33,0.0,21.67,34.26,33.33,26.67,26.67,73.33,40.0,20.0,66.67,86.67
ESO116-G012,15,max-latch,m33,0.0,19.0,34.26,60.0,40.0,40.0,40.0,53.33,13.33,73.33,86.67
ESO116-G012,15,hybrid,m33,0.0,19.9,34.26,60.0,40.0,40.0,40.0,53.33,13.33,66.67,86.67
ESO444-G084,7,macros,m33,0.0,33.05,31.69,57.14,14.29,71.43,57.14,14.29,42.86,14.29,100.0
